
Matrice Examens / Chapitres
Conditions d’achèvement
Dans la partie archive du cours, on peut retrouver les épreuves depuis l'année 2010-2011. Le tableau ci-dessous permet de visualiser les chapitres adressés par les exercices de chacune des épreuves. Certains examens (identifiés avec une étoile) comportent un QCM dont les questions portent sur l'ensemble des chapitres du cours. 

Année	Ch. 0	Ch. 2	Ch. 3	Ch. 4	Ch. 5	Ch. 6	Ch. 7	Ch. 8	Ch. 9	Ch. 10
2010-2011	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 1	Ex. 2	 	Ex. 1	 	 	 	Ex. 3	 	 
2eme Session*	Ex. 1	Ex. 4	Ex.1	Ex.2, 5	 	 	 	Ex. 3	 	 
2011-2012	 	 	 	 	 	 	 	 	 	 
1er Session*	 	Ex.3	Ex.1	Ex. 4, 5	 	 	 	 	Ex. 2	 
2eme Session*	Ex. 1	Ex. 2	 	Ex. 1, 4	 	 	 	Ex. 3	 	 
2012-2013	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 2	Ex. 1	 	Ex. 2, 3	 	 	 	 	 	 
2eme Session*	Ex. 4	Ex. 2	 	 	Ex. 1	 	 	Ex. 3	 	 
2013-2014	 	 	 	 	 	 	 	 	 	 
1er Session*	 	 	Ex. 3	Ex. 1	 	 	 	Ex. 2	 	 
2eme Session*	Ex. 5	Ex. 4	Ex. 1, 2	Ex. 1	 	 	 	Ex. 3	 	 
2014-2015	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 4	Ex. 1	Ex. 4	Ex. 4	 	 	Ex. 3	Ex. 2	 	 
2eme Session*	Ex. 5	Ex. 4	Ex. 5	Ex. 3	Ex. 1	 	 	Ex. 2	 	 
2015-2016	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 3	Ex. 4	 	Ex. 1	Ex. 3	 	 	Ex. 2	 	 
2eme Session*	Ex. 4	 	Ex.4	Ex. 1, 3	 	 	 	Ex.  2	 	 
2016-2017	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 1	 	Ex. 2	Ex. 1,3	 	 	 	Ex. 4	 	 
2eme Session*	Ex. 2	Ex. 1	Ex. 2 	 	 	 	 	 	 	 
2017-2018	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 1	Ex. 4	 	Ex. 1, 2	 	 	Ex. 5	Ex. 3	 	 
2eme Session*	 	 	Ex. 4	Ex. 3	Ex. 1	 	 	Ex. 2	 	 
2018-2019	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex.1	Ex. 4	 	Ex.2	 	 	 	Ex. 3	 	 
2019-2020	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex.1	 	Ex.1	Ex.3	 	 	 	Ex. 2	 	 
2020-2021	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex.1	Ex. 4	Ex.1	Ex.3	 	 	 	Ex. 2	 	 
2021-2022	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex.4	 	Ex.4	Ex.1	 	 	 	Ex. 2,3	 	 
2022-2023	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 3	Ex.1	Ex.3	 	 	 	 	Ex. 2	 	 
2023-2024	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 3	Ex.1 	 	Ex. 2, 3	 	 	 	Ex. 5	 	 
2024-2025	 	 	 	 	 	 	 	 	 	 
1er Session*	Ex. 3	Ex. 1	 	Ex. 3	Ex. 2	 	 	Ex. 4	 	 
2025-2026	 	 	 	 	 	 	 	 	 	 
1er Session*	 	Ex.2	 	Ex. 4	Ex. 1	 	 	Ex. 3	 	 
Modifié le: jeudi 25 juin 2026, 18:53
